CLOSE_AUDUSD.FX,CLOSE_EURUSD.FX,CLOSE_GBPUSD.FX,CLOSE_NZDUSD.FX,CLOSE_USDCAD.FX,CLOSE_USDCHF.FX,CLOSE_USDCNH.FX,CLOSE_USDCNY.FX,CLOSE_USDDKK.FX,CLOSE_USDHKD.FX,CLOSE_USDJPY.FX,CLOSE_USDNOK.FX,CLOSE_USDSEK.FX
0.795,1.187,1.3138,0.7435,1.2586,0.9686,6.7295,6.7597,6.2668,7.8173,110.05,7.9055,8.1015
0.7968,1.1856,1.3223,0.7429,1.2570000000000001,0.9709,6.7298,6.7519,6.2732,7.8166,110.72,7.8984,8.0983
0.7969,1.1802,1.3203,0.7467,1.2538,0.9657,6.7299,6.7466,6.3015,7.8133,110.36,7.9284,8.1095
0.8003,1.1842,1.3215,0.7512,1.248,0.9669,6.7271,6.77,6.2804,7.8102,110.26,7.8638,8.0678
0.7987,1.1751,1.3136,0.7514,1.2433,0.9687,6.737,6.7753,6.3283,7.8098,110.68,7.9127,8.1195
0.7967,1.1677,1.3066,0.7487,1.2554,0.9649,6.744,6.7835,6.3682,7.8091,111.26,7.9546,8.2155
0.8005,1.1734,1.3122,0.752,1.2445,0.9509,6.7431,6.7878,6.3367,7.8092,111.18,7.8928,8.1703
0.7937,1.1647,1.3025,0.7417,1.2509,0.9524,6.7588,6.8025,6.3854,7.8089,111.89,7.9736,8.2085
0.7924,1.1642,1.3028,0.7439,1.251,0.9461,6.7495,6.8036,6.3868,7.8067,111.1,8.0069,8.2154
0.7916,1.1663,1.2997,0.7454,1.2539,0.9457,6.7571,6.8057,6.3761,7.8094,111.13,8.0163,8.2417
0.7958,1.1631,1.2973,0.7398,1.2589,0.9513,6.7561,6.8015,6.3935,7.8103,111.91,8.0455,8.2238
0.7952,1.1515,1.3022,0.7356,1.2606,0.9556,6.7594,6.8019,6.4576,7.8082,111.97,8.0532,8.3037
0.7916,1.1554,1.304,0.7349,1.2628,0.9548,6.7498,6.8007,6.4365,7.8055,112.07,8.0889,8.3019
0.7801,1.1478,1.3055,0.7318,1.2697,0.9626,6.7638,6.8003,6.4789,7.8044,112.63,8.1577,8.2893
0.7832,1.147,1.3098,0.7347,1.2644,0.9635,6.766,6.7809,6.4839,7.8039,112.53,8.1868,8.3082
0.7731,1.1398,1.2939,0.732,1.2722,0.9672,6.7819,6.787000000000001,6.524,7.8084,113.28,8.2596,8.3587
0.7678,1.1412,1.2885,0.7265,1.2751,0.9654,6.7865,6.7998,6.5169,7.8113,113.17,8.2841,8.4173
0.7638,1.1467,1.2848,0.7225,1.2915,0.9637,6.8008,6.8126,6.4844,7.8127,113.94,8.2787,8.4004
0.7606,1.1399,1.2881,0.7275,1.2891,0.9657,6.806,6.8411,6.523,7.8127,114.04,8.3287,8.4305
0.7601,1.1401,1.2890000000000001,0.7281,1.2876,0.9640000000000001,6.8039,6.8366,6.5225,7.8119,113.92,8.3678,8.4269
0.7586,1.1423,1.2971,0.7275,1.2978,0.9604,6.8004,6.8348,6.5102,7.8105,113.22,8.3513,8.4423
0.7603,1.1352,1.2934,0.7290000000000001,1.2957,0.9640000000000001,6.8001,6.8295,6.5513,7.8078,113.26,8.3911,8.4868
0.7606,1.1346,1.2919999999999998,0.7289,1.2937,0.9655,6.8061,6.8292,6.5547,7.8072,113.28,8.3556,8.5261
0.7661,1.1364,1.294,0.7295,1.3007,0.9636,6.7973,6.8195,6.5432,7.8111,113.38,8.3666,8.4903
0.7689,1.1426,1.3025,0.7333,1.2964,0.9579,6.7807,6.8105,6.5075,7.8072,112.39,8.3465,8.4322
0.7683,1.1441,1.3007,0.7299,1.3004,0.9559,6.7935,6.8078,6.4995,7.8057,112.18,8.3856,8.4674
0.764,1.1378,1.2926,0.7305,1.3039,0.9596,6.8036,6.7917,6.5366,7.803999999999999,112.3,8.4262,8.5444
0.7583,1.1339,1.2814,0.7271,1.3199,0.9604,6.8143,6.7991,6.5574,7.8006,112.35,8.4212,8.613999999999999
0.7585,1.1182,1.2723,0.7289,1.3244,0.9724,6.8542,6.7982,6.6501,7.7988,111.86,8.4804,8.7203
0.7568,1.1194,1.2718,0.7285,1.3267,0.9693,6.8363,6.797999999999999,6.6438,7.8002,111.28,8.4505,8.7212
0.7542,1.1152,1.2682,0.7264,1.3233,0.9718,6.8371,6.8003,6.6693,7.7989,111.33,8.488,8.7491
0.7553,1.1168,1.2671,0.7227,1.3334,0.9725,6.8312,6.7957,6.6606,7.8014,111.38,8.5295,8.7486
0.758,1.1134,1.2629,0.7242,1.3268,0.9751,6.8237,6.7952,6.6809,7.8008,111.45,8.5446,8.7831
0.76,1.1149,1.2737,0.7232,1.3219,0.9757,6.8292,6.803999999999999,6.6712,7.8002,111.53,8.5024,8.7425
0.7621,1.1198,1.2783,0.7254,1.3213,0.9733,6.8126,6.81,6.6414,7.8008,110.88,8.4558,8.7096
0.7579,1.1145,1.2758,0.7208,1.3269,0.9753,6.8069,6.8083,6.6715,7.8016,110.93,8.5056,8.7492
0.7585,1.1218,1.2751,0.7261,1.3247,0.9711,6.7860000000000005,6.818,6.6286,7.7978,109.58,8.4227,8.7033
0.7537,1.1211,1.2754,0.7221,1.3242,0.9689,6.7883,6.8555,6.632999999999999,7.7976,110.07,8.4328,8.6939
0.7541,1.1203,1.2659,0.7198,1.3324,0.9688,6.7956,6.8685,6.6376,7.7994,109.95,8.4769,8.7476
0.7527,1.1195,1.2746,0.7213,1.347,0.9694,6.7869,6.8901,6.6432,7.7972,110.32,8.4999,8.7152
0.7547,1.1214,1.2956,0.7215,1.3506,0.9672,6.7826,6.8852,6.6325,7.7974,110.02,8.4945,8.7103
0.7549,1.1257,1.296,0.7195,1.3509,0.9652,6.7742,6.8864,6.6072,7.7949,109.82,8.4952,8.6907
0.7506,1.1277,1.2911,0.7184,1.3455,0.9621,6.756,6.885,6.595,7.7938,109.41,8.4568,8.6646
0.7487,1.1254,1.2904,0.7139,1.3473,0.965,6.7817,6.8892,6.6109,7.7925,110.45,8.449,8.6516
0.7443,1.1279,1.2888,0.7142,1.3487,0.9631,6.7766,6.8784,6.5943,7.789,110.4,8.4175,8.6224
0.7374,1.1213,1.2882,0.706,1.3515,0.9715,6.75,6.8867,6.6339999999999995,7.7915,111.37,8.4533,8.6937
0.743,1.1244,1.2890000000000001,0.7085,1.35,0.9678,6.7462,6.8935,6.6153,7.7921,110.78,8.4359,8.6882
0.7465,1.1186,1.2859,0.7095,1.3459,0.9746,6.8246,6.8995,6.6506,7.7929,110.85,8.4322,8.7245
0.7440000000000001,1.1164,1.284,0.7057,1.3452,0.9777,6.8208,6.9037,6.6632,7.7939,111.27,8.4128,8.7041
0.7448,1.1183,1.2804,0.7061,1.3446,0.9741,6.8233,6.9032,6.6558,7.7933,111.33,8.3786,8.6894
